brand,whitelabel,group_name,sub_group_name
789bk,kzp,96g,96g1
jai88,kzp,96g,96g1
suk555,kzp,96g,96g1
rm99,kzp,blg,blg1
rng999,kzp,blg,blg1
moo555,xgam,kzg,others
chaiyo268,xgam,kzg,others
wow268,xgam,kzg,others
go989,xgam,kzg,others
dee99,ibs,kzg,kzg1
kbk99,tc,kzg,others
sss268,tc,kzg,others
xo268,kz,kzg,kzg1
wow69,kz,kzg,kzg1
mk69,kz,kzg,kzg1
big188,kz,kzg,kzg2
hk39,kz,kzg,kzg1
w268,kz,kzg,kzg2
kiss39,kz,kzg,kzg2
pop369,kz,kzg,kzg2
winhq,tc,kzg,others
xojili,tc,kzg,others
wowjili,wg,kzg,others
ezjili,wg,kzg,others
tru99,kzp,wdb,wdb1
cy268,kz,kzg,kzg1
xc69,kzp,blg,blg1
gogo69,kzp,96g,96g1
noo66,kzp,wdb,wdb1
yes69,kzp,96g,96g1
ok69,kzp,96g,96g1
sos69,kzp,blg,blg1
popwin,kz,kzg,kz
ezwin,kz,kzg,kz
xox66,kzp,wdb,wdb1
hot666,kzp,blg,blg1
mainwow,kz,kzg,kzg1
adda7,kz,kzg,kzg1
wowpk,kz,kzg,kzg1
wk66,kzp,blg,blg1
99ez,kzp,blg,blg1
mainbig,kz,kzg,kzg1
we67,kzp,96g,96g1
winmaya,kzp,96g,96g1
mrjili,kzp,blg,blg1
phwow,kz,kzg,kzg1
ezvip,kz,kzg,kzg1
wtfwin,kz,kzg,kzg1
mc36,kzp,96g,96g1
me39,kzp,96g,96g1
mix77,kzp,blg,blg1
77ac,kzp,blg,blg1
kk69,kz,kzg,kzg1
gig58,kz,kzg,kzg1
bkk678,kz,kzg,kzg1
beer78,kz,kzg,kzg1
win268,kz,kzg,kzg1
ez333,kz,kzg,kzg1
bkk67,kz,kzg,kzg1
th96,kzp,96g,96g1
demo96g1,kzp,96g,96g1
dmkbd,kz,kzg,
dmkpk,kz,kzg,
dmkph,kz,kzg,
demo96ph,kzp,96g,96g1
bdpop,kz,kzg,
pkpop,kz,kzg,
ezezph,kzp,blg,blg1
demowdb1,kzp,wdb,wdb1
